ensembl	symbol	entrez
185	ENSG00000140285	FGF7	2252
189	ENSG00000164465	DCBLD1	285761
190	ENSG00000125788	DEFB126	81623
191	ENSG00000134086	VHL	7428
194	ENSG00000105695	MAG	4099
198	ENSG00000143919	CAMKMT	79823
201	ENSG00000155158	TTC39B	158219
204	ENSG00000120784	ZFP30	22835
206	ENSG00000167195	GOLGA6C	653641
207	ENSG00000272602	ZNF595	152687
210	ENSG00000260097	SPDYE6	729597
214	ENSG00000125812	GZF1	64412
221	ENSG00000228520	RING1	6015
225	ENSG00000173369	C1QB	713
226	ENSG00000230254	HLA-E	3133
229	ENSG00000221938	OR2A14	135941
230	ENSG00000131873	CHSY1	22856
231	ENSG00000088782	DEFB127	140850
232	ENSG00000166479	TMX3	54495
235	ENSG00000281706	LINC01012	100507173
239	ENSG00000227110	LMCD1-AS1	100288428
240	ENSG00000227110	LMCD1-AS1	101927394
242	ENSG00000262938	C21orf62	56245
244	ENSG00000243701	DUBR	344595
246	ENSG00000163464	CXCR1	3577
247	ENSG00000244355	LY6G6D	58530
250	ENSG00000145757	SPATA9	83890
258	ENSG00000123570	RAB9B	51209
259	ENSG00000178966	RMI1	80010
262	ENSG00000276856	TUBGCP5	114791
263	ENSG00000236830	CBR3-AS1	100506428
267	ENSG00000034239	EFCAB1	79645
269	ENSG00000153347	FAM81B	153643
270	ENSG00000096080	MRPS18A	55168
272	ENSG00000052344	PRSS8	5652
273	ENSG00000277518	MUC6	4588
275	ENSG00000115946	PNO1	56902
276	ENSG00000149136	SSRP1	6749
277	ENSG00000106443	PHF14	9678
282	ENSG00000048405	ZNF800	168850
287	ENSG00000155530	LRGUK	136332
288	ENSG00000161055	SCGB3A1	92304
291	ENSG00000213416	KRTAP4-12	83755
298	ENSG00000163625	WDFY3	23001
300	ENSG00000276357	KIR3DL2	3812
304	ENSG00000203808	BVES-AS1	154442
306	ENSG00000168090	COPS6	10980
308	ENSG00000198707	CEP290	80184
309	ENSG00000157087	ATP2B2	491
311	ENSG00000198090	KRTAP4-6	81871
316	ENSG00000226995	LINC00658	100507629
321	ENSG00000162385	MAGOH	4116
324	ENSG00000112984	KIF20A	10112
325	ENSG00000099942	CRKL	1399
326	ENSG00000035720	STAP1	26228
329	ENSG00000133422	MORC2	22880
331	ENSG00000130768	SMPDL3B	27293
341	ENSG00000188694	KRTAP24-1	643803
342	ENSG00000198271	KRTAP4-5	85289
345	ENSG00000279685	MAPT-IT1	100130148
346	ENSG00000163597	SNHG16	100507246
349	ENSG00000132965	ALOX5AP	241
350	ENSG00000118407	FILIP1	27145
351	ENSG00000235863	B3GALT4	8705
357	ENSG00000234676	IFT74-AS1	101929602
358	ENSG00000205038	PKHD1L1	93035
359	ENSG00000277236	CCL14	6358
360	ENSG00000229780	UBE2Q1-AS1	100874097
361	ENSG00000186471	AKAP14	158798
362	ENSG00000229105	ASTN2-AS1	100128505
366	ENSG00000244623	OR2AE1	81392
369	ENSG00000231419	LINC00689	154822
370	ENSG00000171202	TMEM126A	84233
371	ENSG00000187554	TLR5	7100
378	ENSG00000230763	HLA-DPB1	3115
379	ENSG00000129187	DCTD	1635
381	ENSG00000189269	DRICH1	51233
382	ENSG00000114529	C3orf52	79669
383	ENSG00000242732	RGAG4	340526
385	ENSG00000171603	CLSTN1	22883
389	ENSG00000145020	AMT	275
392	ENSG00000132874	SLC14A2	8170
393	ENSG00000205029	OR5D16	390144
397	ENSG00000163145	C1QTNF7	114905
398	ENSG00000214642	DEFB113	245927
400	ENSG00000036054	TBC1D23	55773
401	ENSG00000101405	OXT	5020
402	ENSG00000183850	ZNF730	100129543
403	ENSG00000180138	CSNK1A1L	122011
404	ENSG00000182378	PLCXD1	55344
406	ENSG00000157992	KRTCAP3	200634
411	ENSG00000104774	MAN2B1	4125
415	ENSG00000224805	LINC00853	100874253
416	ENSG00000259956	RBM15B	29890
421	ENSG00000157800	SLC37A3	84255
422	ENSG00000160714	UBE2Q1	55585
423	ENSG00000153201	RANBP2	5903
434	ENSG00000278567	CCL3	6348
436	ENSG00000225210	DUXAP9	503639
439	ENSG00000136997	MYC	4609
441	ENSG00000179918	SEPHS2	22928
444	ENSG00000274540	PRR23D1	100131608
445	ENSG00000278418	MIR6512	102465255
455	ENSG00000130201	EXOC3L2	90332
456	ENSG00000165661	QSOX2	169714
457	ENSG00000266245	MIR4644	100616430
469	ENSG00000266509	MIR3934	100500873
473	ENSG00000104687	GSR	2936
474	ENSG00000207722	MIR520B	574473
475	ENSG00000121005	CRISPLD1	83690
479	ENSG00000176715	ACSF3	197322
482	ENSG00000196663	TECPR2	9895
483	ENSG00000179909	ZNF154	7710
485	ENSG00000188488	SERPINA5	5104
490	ENSG00000143630	HCN3	57657
493	ENSG00000274831	MIR6824	102465495
499	ENSG00000265390	MIR4999	100847049
500	ENSG00000007384	RHBDF1	64285
504	ENSG00000277727	MIR146A	406938
505	ENSG00000271079	CTAGE15	441294
508	ENSG00000265538	MIR4421	100616189
511	ENSG00000201326	SNORD115-22	100033799
512	ENSG00000200394	SNORA38B	100124536
514	ENSG00000266740	MIR4708	100616176
516	ENSG00000275891	MIR7110	102465667
518	ENSG00000277457	LENG1	79165
522	ENSG00000238886	SNORD121A	100113379
524	ENSG00000278274	SNORA61	677838
526	ENSG00000250426	FTLP10	100130017
528	ENSG00000117971	CHRNB4	1143
529	ENSG00000263978	MIR4499	100616304
530	ENSG00000276313	MIR6891	102465537
547	ENSG00000105479	CCDC114	93233
548	ENSG00000221240	MIR1258	100302172
549	ENSG00000221160	MIR1281	100302237
550	ENSG00000129071	MBD4	8930
553	ENSG00000127955	GNAI1	2770
564	ENSG00000274389	MIR302B	442894
571	ENSG00000207939	MIR223	407008
572	ENSG00000137198	GMPR	2766
576	ENSG00000264314	MIR548AT	100847030
594	ENSG00000221187	MIR548M	100313772
607	ENSG00000070729	CNGB1	1258
611	ENSG00000207732	MIR218-1	407000
612	ENSG00000275451	MIR6085	102464834
613	ENSG00000207960	MIR153-2	406945
618	ENSG00000274060	MIR6724-2	103504727
626	ENSG00000278483	MIR8087	102465881
632	ENSG00000221494	MIR548I4	100302191
633	ENSG00000168679	SLC16A4	9122
636	ENSG00000244405	ETV5	2119
643	ENSG00000207603	MIR7-1	407043
647	ENSG00000146373	RNF217	154214
649	ENSG00000273525	SNORA54	677833
652	ENSG00000263572	MIR7853	102466866
654	ENSG00000277380	MIR4311	100422905
657	ENSG00000221365	MIR1228	100302201
658	ENSG00000120324	PCDHB10	56126
660	ENSG00000204220	PFDN6	10471
669	ENSG00000199914	SNORD114-16	767594
673	ENSG00000278524	MIR6810	102466197
676	ENSG00000230749	MEIS1-AS2	100873998
678	ENSG00000273934	MIR6770-2	102465908
680	ENSG00000278221	MIR6511A2	102466812
685	ENSG00000239183	SNORA84	100124534
687	ENSG00000264500	MIR3124	100422879
689	ENSG00000221740	SNORD93	692210
693	ENSG00000252326	SNORD116-25	100033436
696	ENSG00000202354	RNY3	6085
705	ENSG00000264190	MIR5006	100847026
710	ENSG00000275711	MIR6795	102465476
715	ENSG00000266436	MIR4264	100422888
719	ENSG00000221265	MIR1255A	100302193
723	ENSG00000265110	MIR4731	100616125
726	ENSG00000211514	MIR454	768216
731	ENSG00000207702	MIR211	406993
733	ENSG00000228517	CT47A7	653282
736	ENSG00000266531	MIR4706	100616490
741	ENSG00000275721	MIR6833	102465500
742	ENSG00000265195	MIR4312	100422971
748	ENSG00000264406	MIR548AP	100847084
754	ENSG00000176619	LMNB2	84823
758	ENSG00000276844	SNORD115-46	100873857
759	ENSG00000200413	SNORD114-26	767606
763	ENSG00000207577	MIR587	693172
768	ENSG00000264073	MIR3199-2	100422998
769	ENSG00000264073	MIR3199-2	100423034
770	ENSG00000264073	MIR3199-1	100422998
771	ENSG00000264073	MIR3199-1	100423034
772	ENSG00000278280	MIR6834	102465501
781	ENSG00000277014	MIR3179-4	103504729
788	ENSG00000264857	MIR5696	100847007
790	ENSG00000275474	RDH13	112724
791	ENSG00000277733	MBOAT7	79143
793	ENSG00000263864	SNORD48	26801
800	ENSG00000263897	MIR4669	100616236
806	ENSG00000266204	MIR5589	100847093
811	ENSG00000278089	SNORD115-7	100033444
813	ENSG00000279247	TAF9	6880
814	ENSG00000279247	TAF9	102157402
815	ENSG00000274588	DGKK	139189
817	ENSG00000120280	CXorf21	80231
819	ENSG00000207405	SNORA64	26784
827	ENSG00000277264	MIR6833	102465500
839	ENSG00000037965	HOXC8	3224
841	ENSG00000275466	MIR6716	102466719
850	ENSG00000266206	MIR3926-2	100500870
851	ENSG00000266206	MIR3926-1	100500870
853	ENSG00000278808	MIR3179-2	100422886
855	ENSG00000275692	MIR6724-4	103504733
862	ENSG00000207979	MIR527	574497
865	ENSG00000263359	SNORD117	692233
868	ENSG00000265407	MIR4324	100422979
875	ENSG00000274083	MIR6837	102466985
877	ENSG00000207701	MIR597	693182
891	ENSG00000207810	MIR519E	574463
900	ENSG00000278189	RNA5-8S5	100008587
906	ENSG00000264901	MIR3616	100500814
907	ENSG00000199593	SNORD114-14	767592
915	ENSG00000207625	MIR128-2	406916
916	ENSG00000243594	PSMB9	5698
920	ENSG00000101421	CHMP4B	128866
927	ENSG00000274566	GP6	51206
935	ENSG00000264770	MIR3135B	100616218
949	ENSG00000207599	MIR520E	574461
953	ENSG00000277086	MTMR10	54893
956	ENSG00000266052	MIR4500	100616182
968	ENSG00000274314	MIR6749	102466727
978	ENSG00000102924	CBLN1	869
985	ENSG00000264897	MIR3921	100500859
989	ENSG00000264294	SNORD55	26811
996	ENSG00000157601	MX1	4599
997	ENSG00000266418	MIR4646	100616230
998	ENSG00000206775	SNORD37	26812
999	ENSG00000252712	SCARNA14	692149
1007	ENSG00000264005	MIR4314	100422983
1012	ENSG00000277138	MIR6509	102465254
1014	ENSG00000266189	MIR3186	100422944
1015	ENSG00000211582	MIR758	768212
1022	ENSG00000265829	MIR548AG1	100616450
1031	ENSG00000265595	MIR4756	100616225
1034	ENSG00000264780	MIR4683	100616500
1039	ENSG00000147274	RBMX	27316
1048	ENSG00000265321	MIR4263	100422965
1049	ENSG00000278262	MIR6511A2	102466812
1050	ENSG00000274543	MIR570	693155
1051	ENSG00000266737	MIR4691	100616403
1065	ENSG00000273587	SNORA78	677844
1072	ENSG00000277533	MIR8077	102465875
1073	ENSG00000206693	SNORA56	677835
1075	ENSG00000201998	SNORA23	677808
1086	ENSG00000279516	FAM230C	26080
1092	ENSG00000266478	MIR5197	100846991
1097	ENSG00000277060	NLRP2	55655
1098	ENSG00000207145	SNORA18	677805
1099	ENSG00000275843	NLRP2	55655
1103	ENSG00000266703	MIR4490	100616186
1105	ENSG00000265135	MIR5687	100847019
1107	ENSG00000201302	SNORA65	26783
1115	ENSG00000207611	MIR149	406941
1117	ENSG00000274850	MIR3180-2	100422956
1120	ENSG00000276027	RNU12	267010
1121	ENSG00000278223	MIR6783	102466734
1128	ENSG00000265575	MIR4784	100616378
1134	ENSG00000071282	LMCD1	29995
1135	ENSG00000253877	LINC01608	101927459
1136	ENSG00000212013	MIR509-2	100126301
1137	ENSG00000199122	MIR148B	442892
1139	ENSG00000113649	TCERG1	10915
1140	ENSG00000207789	MIR26A2	407016
1141	ENSG00000206989	SNORD63	26785
1157	ENSG00000221716	SNORA11	677799
1159	ENSG00000168522	FNTA	2339
1162	ENSG00000273916	NCR1	9437
1169	ENSG00000266449	MIR3713	100500855
1173	ENSG00000178605	GTPBP6	8225
1176	ENSG00000263643	MIR4515	100616404
1177	ENSG00000216005	MIR888	100126306
1182	ENSG00000207963	MIR569	693154
1192	ENSG00000275859	MIR6720	102466720
1195	ENSG00000215943	MIR892A	100126342
1197	ENSG00000137496	IL18BP	10068
1198	ENSG00000168763	CNNM3	26505
1200	ENSG00000207798	MIR216A	406998
1201	ENSG00000208002	MIR643	693228
1203	ENSG00000277314	MIR570	693155
1205	ENSG00000207631	MIR641	693226
1208	ENSG00000207563	MIR23B	407011
1218	ENSG00000264773	MIR4420	100616164
1225	ENSG00000212447	SNORD90	692206
1226	ENSG00000265178	MIR4728	100616132
1228	ENSG00000266847	SNORA38	677820
1233	ENSG00000148730	EIF4EBP2	1979
1249	ENSG00000221390	MIR1295A	100302178
1255	ENSG00000263831	MIR378E	100616498
1258	ENSG00000163468	CCT3	7203
1259	ENSG00000207812	MIR19B2	406981
1268	ENSG00000274978	RNU11	26824
1273	ENSG00000258689	LINC01269	103695436
1275	ENSG00000207647	MIR153-1	406944
1280	ENSG00000229396	DAXX	1616
1282	ENSG00000168060	NAALADL1	10004
1285	ENSG00000266624	MIR1234	100302196
1290	ENSG00000265719	MIR4681	100616398
1296	ENSG00000277676	MIR4538	100616276
1300	ENSG00000129873	CDY2B	203611
1303	ENSG00000101882	NKAP	79576
1306	ENSG00000267021	MIR4321	100423031
1309	ENSG00000275842	MIR941-3	100126329
1310	ENSG00000275842	MIR941-3	100126352
1311	ENSG00000275842	MIR941-3	103504732
1312	ENSG00000275842	MIR941-5	100126329
1313	ENSG00000275842	MIR941-5	100126352
1314	ENSG00000275842	MIR941-5	103504732
1319	ENSG00000199187	MIR365B	100126356
1320	ENSG00000266461	MIR2392	100616495
1321	ENSG00000265596	MIR3659	100500801
1322	ENSG00000266494	MIR4641	100616178
1326	ENSG00000277872	MIR6817	102466198
1332	ENSG00000266039	MIR4509-2	100616228
1334	ENSG00000112599	GUCA1B	2979
1340	ENSG00000212232	SNORD17	692086
1345	ENSG00000166106	ADAMTS15	170689
1347	ENSG00000251733	SCARNA8	677776
1350	ENSG00000278386	MIR6506	102465252
1357	ENSG00000166260	COX11	1353
1360	ENSG00000221459	SNORA11C	100124540
1368	ENSG00000266761	MIR3194	100422889
1372	ENSG00000266851	MIR3135B	100616218
1374	ENSG00000276987	MIR6848	102465511
1385	ENSG00000278581	MIR6080	102464831
1387	ENSG00000201457	SNORA55	677834
1388	ENSG00000266407	MIR3157	100422892
1390	ENSG00000207313	SNORA2B	677794
1392	ENSG00000276575	MIR6895	102465539
1393	ENSG00000274986	MIR6750	102466192
1395	ENSG00000276479	MIR548AZ	102466162
1399	ENSG00000274390	MIR6885	102465533
1400	ENSG00000276641	MIR6769A	102466731
1406	ENSG00000266454	MIR3179-3	100423006
1417	ENSG00000172938	MRGPRD	116512
1419	ENSG00000274640	SNORD109A	338428
1431	ENSG00000264115	MIR3180-4	100500852
1433	ENSG00000274816	MIR6772	102465463
1436	ENSG00000265291	MIR4710	100616300
1440	ENSG00000275820	MIR6778	102466733
1441	ENSG00000171853	TRAPPC12	51112
1450	ENSG00000264494	MIR4650-2	100616331
1458	ENSG00000276948	MIR1257	100302168
1464	ENSG00000265768	MIR4506	100616140
1469	ENSG00000263597	MIR3936	100500865
1474	ENSG00000266582	MIR4527	100616264
1494	ENSG00000273136	NBPF26	101060684
1497	ENSG00000280968	MIR3653	100500833
1500	ENSG00000173926	MARCH3	115123
1502	ENSG00000174292	TNK1	8711
1504	ENSG00000252835	SCARNA21	677763
1506	ENSG00000278618	MIR8069-2	103504736
1508	ENSG00000278119	GOLGA8J	653073
1509	ENSG00000278119	GOLGA8J	653720
1510	ENSG00000278119	GOLGA8J	728498
1515	ENSG00000276712	MIR7111	102465668
1522	ENSG00000264975	MIR4431	100616431
1525	ENSG00000264319	MIR4801	100616435
1531	ENSG00000119812	FAM98A	25940
1533	ENSG00000264274	MIR4799	100616246
1534	ENSG00000264200	MIR4693	100616457
1540	ENSG00000264633	MIR4271	100422952
1541	ENSG00000278257	LENG1	79165
1544	ENSG00000177191	B3GNT8	374907
1548	ENSG00000274066	MIR6514	102465257
1563	ENSG00000265375	MIR4679-1	100616128
1564	ENSG00000265375	MIR4679-1	100616192
1565	ENSG00000265375	MIR4679-2	100616128
1566	ENSG00000265375	MIR4679-2	100616192
1569	ENSG00000214513	NOTO	344022
1571	ENSG00000278034	MIR6731	102465437
1577	ENSG00000266139	MIR4435-2	100616341
1579	ENSG00000264678	MIR3140	100422896
1580	ENSG00000103047	TANGO6	79613
1582	ENSG00000197976	AKAP17A	8227
1585	ENSG00000266802	MIR4419A	100616177
1594	ENSG00000251620	STPG2-AS1	101410545
1598	ENSG00000163833	FBXO40	51725
1602	ENSG00000248329	APELA	100506013
1608	ENSG00000206948	SNORA36A	677817
1610	ENSG00000179178	TMEM125	128218
1615	ENSG00000264536	MIR5706	100847085
1616	ENSG00000171150	SOCS5	9655
1618	ENSG00000263763	MIR3686	100500839
1620	ENSG00000275523	MIR6508	102466972
1625	ENSG00000185982	DEFB128	245939
1631	ENSG00000274586	MIR6721	102466190
1632	ENSG00000274586	MIR6721	102466190
1634	ENSG00000134809	TIMM10	26519
1635	ENSG00000216195	MIR941-3	100126329
1636	ENSG00000216195	MIR941-3	100126330
1637	ENSG00000216195	MIR941-3	100126352
1638	ENSG00000216195	MIR941-4	100126329
1639	ENSG00000216195	MIR941-4	100126330
1640	ENSG00000216195	MIR941-4	100126352
1641	ENSG00000278916	CEP83-AS1	144486
1642	ENSG00000224994	TRIM39	56658
1643	ENSG00000224994	TRIM39	202658
1644	ENSG00000207583	MIR606	693191
1651	ENSG00000264110	MIR4300	100422823
1652	ENSG00000199066	MIR330	442902
1654	ENSG00000264744	MIR3689C	100616333
1655	ENSG00000277725	KIR2DL2	3803
1658	ENSG00000276221	MIR8057	102466874
1664	ENSG00000263697	MIR3621	100500811
1665	ENSG00000277321	MIR6820	102465492
1668	ENSG00000266855	MIR3910-1	100500821
1671	ENSG00000202515	VTRNA1-3	56662
1674	ENSG00000200812	SNORD115-6	100033443
1681	ENSG00000264657	MIR3171	100422830
1682	ENSG00000278229	RPS17	6218
1691	ENSG00000233816	IFNA13	3447
1694	ENSG00000207088	SNORA7B	677797
1697	ENSG00000199266	SNORA60	677837
1700	ENSG00000223757	VWA7	80737
1705	ENSG00000264056	MIR5685	100847075
1706	ENSG00000184032	KRTAP20-2	337976
1708	ENSG00000164256	PRDM9	56979
1711	ENSG00000180822	PSMG4	389362
1714	ENSG00000265810	MIR3907	100500835
1717	ENSG00000211520	MIR216B	100126319
1718	ENSG00000227222	DHX16	8449
1721	ENSG00000151838	CCDC175	729665
1722	ENSG00000273544	SNORA44	677825
1729	ENSG00000252695	MIR2276	100313842
1730	ENSG00000263413	MIR4538	100616276
1731	ENSG00000207780	MIR648	693233
1732	ENSG00000273745	MIR6870	102465525
1734	ENSG00000125903	DEFB129	140881
1736	ENSG00000176407	KCMF1	56888
1742	ENSG00000266574	MIR219A1	407002
1744	ENSG00000226306	NPY6R	4888
1745	ENSG00000237282	LINC00851	440757
1752	ENSG00000202521	RNA5S7	100169758
1757	ENSG00000182648	LINC01006	129790
1760	ENSG00000100056	DGCR14	8220
1764	ENSG00000266649	MIR3126	100423030
1776	ENSG00000263890	MIR4303	100422924
1782	ENSG00000275534	MIR20A	406982
1785	ENSG00000221510	MIR548O	100313829
1788	ENSG00000275526	MIR6721	102466190
1794	ENSG00000277179	NLRP7	199713
1795	ENSG00000171132	PRKCE	5581
1801	ENSG00000213005	PTTG3P	26255
1803	ENSG00000266423	MIR3163	100423029
1807	ENSG00000273848	MIR7847	102465993
1811	ENSG00000276224	MIR8061	102466251
1813	ENSG00000223957	NEU1	4758
1814	ENSG00000244242	IFITM10	402778
1815	ENSG00000144648	ACKR2	1238
1821	ENSG00000203909	DPPA5	340168
1825	ENSG00000265917	MIR3685	100500802
1826	ENSG00000264010	MIR4429	100616469
1829	ENSG00000276622	MIR6499	102465246
1832	ENSG00000211689	TRGC1	445347
1841	ENSG00000159763	PIP	5304
1843	ENSG00000255277	ABCC6P2	730013
1845	ENSG00000199574	SNORD18C	595100
1847	ENSG00000264397	MIR3180-5	100500916
1850	ENSG00000270024	C8orf44-SGK3	100533105
1859	ENSG00000259281	LINGO1-AS2	101929478
1860	ENSG00000163705	FANCD2OS	115795
1866	ENSG00000221803	SNORD23	692091
1871	ENSG00000263634	MIR3919	100500803
1875	ENSG00000264279	MIR4786	100616417
1883	ENSG00000200156	RNU5B-1	26832
1884	ENSG00000173846	PLK3	1263
1885	ENSG00000265284	MIR4770	100616373
1886	ENSG00000207721	MIR186	406962
1887	ENSG00000277462	ZNF670	93474
1889	ENSG00000212588	SNORA26	677810
1895	ENSG00000174748	RPL15	6138
1896	ENSG00000263793	MIR3115	100422866
1901	ENSG00000274407	MIR6721	102466190
1902	ENSG00000107672	NSMCE4A	54780
1905	ENSG00000200680	SNORD115-4	100033441
1906	ENSG00000232859	LYRM9	201229
1912	ENSG00000231281	HCG27	253018
1914	ENSG00000266398	MIR3656	100500840
1920	ENSG00000207808	MIR27A	407018
1927	ENSG00000275931	GP6	51206
1929	ENSG00000277892	MIR6746	102465446
1930	ENSG00000165895	ARHGAP42	143872
1937	ENSG00000250312	ZNF718	255403
1940	ENSG00000221421	MIR1283-1	100302265
1941	ENSG00000201754	SNORD52	26797
1944	ENSG00000201143	SNORD115-42	100033816
1947	ENSG00000266271	MIR4646	100616230
1949	ENSG00000274203	MIR6513	102465256
1957	ENSG00000275604	MIR1302-11	100422919
1961	ENSG00000187735	TCEA1	6917
1962	ENSG00000248668	OXCT1-AS1	100874002
1965	ENSG00000276167	TAS2R50	259296
1977	ENSG00000265641	MIR3929	100500864
1978	ENSG00000275644	OSCAR	126014
1979	ENSG00000096006	CRISP3	10321
1981	ENSG00000266243	MIR4279	100422874
1986	ENSG00000276606	MIR6832	102466745
1988	ENSG00000164597	COG5	10466
2005	ENSG00000266507	MIR4479	100616480
2016	ENSG00000207279	SNORD116-24	100033435
2022	ENSG00000110169	HPX	3263
2030	ENSG00000275224	MIR6501	102465248
2033	ENSG00000203650	LINC01285	101928287
2036	ENSG00000138483	CCDC54	84692
2049	ENSG00000276774	LENG1	79165
2052	ENSG00000207001	SNORD116-2	100033414
2057	ENSG00000147234	FRMPD3	84443
2061	ENSG00000171396	KRTAP4-4	84616
2064	ENSG00000222370	SNORA36B	677818
2071	ENSG00000282230	ADAM9	8754
2082	ENSG00000275505	MIR6787	102465472
2085	ENSG00000104901	DKKL1	27120
2086	ENSG00000221369	MIR548G	100313938
2088	ENSG00000238363	SNORA13	654322
2089	ENSG00000221410	MIR1238	100302226
2093	ENSG00000237957	CT47A5	728072
2095	ENSG00000163982	OTOP1	133060
2098	ENSG00000207825	MIR519B	574469
2100	ENSG00000179698	WDR97	340390
2104	ENSG00000277407	MIR4509-3	100616382
2111	ENSG00000235132	OR2H1	26716
2112	ENSG00000188124	OR2AG2	338755
2115	ENSG00000266634	MIR3972	100616188
2119	ENSG00000263628	MIR3155A	100422989
2121	ENSG00000173821	RNF213	57674
2131	ENSG00000216192	MIR920	100126320
2136	ENSG00000277609	MIR6800	102465480
2139	ENSG00000265210	MIR4486	100616118
2142	ENSG00000277643	MIR6833	102465500
2145	ENSG00000118322	ATP10B	23120
2147	ENSG00000215991	MIR208B	100126336
2148	ENSG00000277267	LILRP2	79166
2149	ENSG00000158815	FGF17	8822
2151	ENSG00000276066	VSTM1	284415
2152	ENSG00000212100	MIR764	100313838
2156	ENSG00000277261	MIR6721	102466190
2162	ENSG00000274247	PRSS1	5644
2164	ENSG00000276168	RN7SL1	6029
2167	ENSG00000272344	SNORD114-21	767599
2177	ENSG00000277547	MIR6751	102465449
2180	ENSG00000124789	NUP153	9972
2181	ENSG00000266589	MIR4512	100616149
2182	ENSG00000266287	MIR3683	100500886
2183	ENSG00000278767	SERPINA10	51156
2191	ENSG00000207513	RNU1-3	26869
2201	ENSG00000275770	MIR6505	102466657
2205	ENSG00000181867	FTMT	94033
2208	ENSG00000074842	MYDGF	56005
2211	ENSG00000084731	KIF3C	3797
2215	ENSG00000198959	TGM2	7052
2217	ENSG00000264549	SNORD95	619570
2218	ENSG00000130684	ZNF337	26152
2224	ENSG00000264755	MIR3131	100422957
2228	ENSG00000266518	MIR4268	100422959
2230	ENSG00000277243	MIR3118-3	100422844
2237	ENSG00000160352	ZNF714	148206
2245	ENSG00000264566	MIR23C	100500809
2246	ENSG00000264052	MIR3655	100500820
2251	ENSG00000266004	SNORA38	677820
2253	ENSG00000275335	MIR8088	102466880
2258	ENSG00000275238	MIR4734	100616203
2264	ENSG00000206279	DAXX	1616
2273	ENSG00000276323	TFPT	29844
2274	ENSG00000264941	MIR4474	100616441
2279	ENSG00000242802	AP5Z1	9907
2280	ENSG00000199071	MIR423	494335
2281	ENSG00000249884	RNF103-CHMP3	100526767
2283	ENSG00000167580	AQP2	359
2285	ENSG00000187801	ZFP69B	65243
2286	ENSG00000229619	MBNL1-AS1	401093
2287	ENSG00000204195	AWAT1	158833
2292	ENSG00000216058	MIR944	100126340
2294	ENSG00000173200	PARP15	165631
2297	ENSG00000181800	CELF2-AS1	414196
2302	ENSG00000262599	KIAA1147	57189
2306	ENSG00000197093	GAL3ST4	79690
2310	ENSG00000161911	TREML1	340205
2325	ENSG00000275410	HNF1B	6928
2328	ENSG00000238741	SCARNA7	677767
2337	ENSG00000199568	RNU5A-1	26831
2338	ENSG00000207923	MIR559	693144
2348	ENSG00000201557	SNORD114-15	767593
2351	ENSG00000080644	CHRNA3	1136
2357	ENSG00000265699	MIR548AE2	100616339
2359	ENSG00000276580	MIR8055	102465861
2360	ENSG00000238705	MIR1976	100302190
2362	ENSG00000221331	MIR548Q	100313841
2369	ENSG00000275384	TARM1	441864
2378	ENSG00000176340	COX8A	1351
2379	ENSG00000129862	VCY1B	353513
2387	ENSG00000264994	SNORD92	692209
