Source	Target	Type
HDAC2_06	ENSG00000141646	regulate
ABL1_01	ENSG00000257591	regulate
HDAC2_06	ENSG00000204531	regulate
PLAGL2_02	ENSG00000106459	regulate
BCL6_01	ENSG00000106511	regulate
ZNF514_01	ENSG00000196418	regulate
MEF2_Q6_03	ENSG00000140836	regulate
BCL6_01	ENSG00000228623	regulate
FOXP1_01	ENSG00000101216	regulate
ENSG00000120149	MSX2_01	protein
ENSG00000203883	SOX_Q4	protein
PU1_Q4	ENSG00000204644	regulate
HNF1_Q6_01	ENSG00000229809	regulate
ENSG00000106004	HOX13_01	protein
IRF1_05	ENSG00000064490	regulate
BCL6_01	ENSG00000123685	regulate
PU1_Q4	ENSG00000125878	regulate
ENSG00000101076	HNF4A_05	protein
MEF2A_05	ENSG00000173253	regulate
HDAC2_06	ENSG00000196437	regulate
LHX5_01	ENSG00000173039	regulate
PEG3_02	ENSG00000120738	regulate
FREAC4_01	ENSG00000177888	regulate
GFI1_01	ENSG00000178573	regulate
HNF3_Q6_01	ENSG00000173757	regulate
FOXJ2_01	ENSG00000170631	regulate
KROX_Q6	ENSG00000064195	regulate
ENSG00000116132	PRRX1_03	protein
ENSG00000135100	HNF1_02	protein
BRN4_01	ENSG00000198740	regulate
SOX6TBX21_01	ENSG00000185697	regulate
ENSG00000178175	ZNF366_01	protein
HNF3_Q6_01	ENSG00000185591	regulate
PU1_Q4	ENSG00000128709	regulate
IRF5_Q3	ENSG00000102870	regulate
PRRX2_05	ENSG00000165606	regulate
BCL6_01	ENSG00000181894	regulate
CRX_Q6	ENSG00000198453	regulate
T3RBETA_Q6_01	ENSG00000109101	regulate
ENSG00000165606	TEAD4DRGX_01	protein
OCT1_04	ENSG00000176371	regulate
CGBP_01	ENSG00000121406	regulate
CDX_Q5	ENSG00000127903	regulate
ZNF227_03	ENSG00000125740	regulate
RPC155_01	ENSG00000012048	regulate
ENSG00000112658	SRF_Q5_01	protein
ARP1_01	ENSG00000168826	regulate
BCL6_01	ENSG00000115966	regulate
LBX2_01	ENSG00000147140	regulate
IPF1_06	ENSG00000005073	regulate
ARX_03	ENSG00000130182	regulate
IRX3_01	ENSG00000066336	regulate
IRX2_01	ENSG00000171291	regulate
RPC155_01	ENSG00000184271	regulate
BCL6_01	ENSG00000173253	regulate
ENSG00000275410	HNF1B_Q6	protein
SRF_01	ENSG00000145908	regulate
IRF1_05	ENSG00000253293	regulate
E2F1EOMES_02	ENSG00000154832	regulate
BCL6_01	ENSG00000174197	regulate
HOXB13_01	ENSG00000118495	regulate
SOX7_05	ENSG00000230797	regulate
FOXC1_02	ENSG00000242441	regulate
CGBP_01	ENSG00000130700	regulate
BCL6_01	ENSG00000113430	regulate
NRSF_Q4	ENSG00000125492	regulate
FOXP1_01	ENSG00000198538	regulate
PAX4_04	ENSG00000204644	regulate
XBP1_01	ENSG00000108924	regulate
ALX4EOMES_01	ENSG00000180938	regulate
ENSG00000012504	FXRRXR_Q5	protein
ARX_03	ENSG00000168779	regulate
FOXO1_02	ENSG00000103241	regulate
RPC155_01	ENSG00000179922	regulate
SETDB1_01	ENSG00000196152	regulate
BCL6_01	ENSG00000182568	regulate
ENSG00000102974	CTCF_02	protein
RPC155_01	ENSG00000075407	regulate
EGR1_12	ENSG00000187098	regulate
HFH3_01	ENSG00000119725	regulate
HDAC2_06	ENSG00000166888	regulate
ENSG00000177463	TR4_03	protein
ENSG00000069011	HOXB2PITX1_01	protein
HOXD10_01	ENSG00000196418	regulate
ENSG00000025434	PXR_Q2	protein
RXRPXR_Q2	ENSG00000164754	regulate
FOXP1_01	ENSG00000173039	regulate
HNF1B_Q6	ENSG00000092607	regulate
K2B_01	ENSG00000186951	regulate
LXRBRXRA_Q5_01	ENSG00000166529	regulate
HNF3_Q6_01	ENSG00000121075	regulate
POU3F1_Q6	ENSG00000251192	regulate
DLX2_01	ENSG00000005073	regulate
ISRE_01	ENSG00000100968	regulate
LIM1_01	ENSG00000081386	regulate
BARHL1_01	ENSG00000130711	regulate
ENSG00000230257	NFE4_Q5	protein
HDAC2_06	ENSG00000170949	regulate
BCL6_01	ENSG00000162702	regulate
ENSG00000109906	PLZFB_Q3	protein
ENSG00000068305	MEF2_03	protein
TEAD4ESRRB_01	ENSG00000112837	regulate
ENSG00000184492	FOXD4L1_01	protein
ZNF133_02	ENSG00000221994	regulate
ENSG00000251192	ZNF674_01	protein
MEF2_Q6_02	ENSG00000278129	regulate
RPC155_01	ENSG00000147133	regulate
FOXJ2_01	ENSG00000103199	regulate
TBX5_04	ENSG00000113580	regulate
ENSG00000185551	COUPDR1_Q6	protein
ENSG00000174586	ZNF497_03	protein
ALX4TBX21_01	ENSG00000180938	regulate
HOXB7_01	ENSG00000198556	regulate
MEF2_Q6_03	ENSG00000123358	regulate
HDAC2_06	ENSG00000124459	regulate
HDAC2_06	ENSG00000197472	regulate
HDAC2_06	ENSG00000151702	regulate
FOXP1_01	ENSG00000065970	regulate
HOXC13_Q2	ENSG00000204524	regulate
ENSG00000173917	HOXB2HOXB13_01	protein
ENSG00000198807	ELK1PAX9_01	protein
LXR_Q6	ENSG00000257446	regulate
ENSG00000143842	SOX_Q4	protein
ENSG00000163132	MSX1_Q5	protein
HNF4A_07	ENSG00000162702	regulate
RPC155_01	ENSG00000064490	regulate
HOXB8_01	ENSG00000184058	regulate
CDX2_Q5	ENSG00000163623	regulate
POU1F1_03	ENSG00000147133	regulate
HDAC2_06	ENSG00000204604	regulate
GTF3C2_01	ENSG00000198026	regulate
FOXJ2_01	ENSG00000081665	regulate
ENSG00000126456	IRF3_Q3	protein
ENSG00000100393	EP300_03	protein
ONECUT1_01	ENSG00000215421	regulate
FOXJ2_01	ENSG00000178150	regulate
BRN4_01	ENSG00000173404	regulate
IRF1_05	ENSG00000204519	regulate
CGBP_01	ENSG00000159556	regulate
ENSG00000005889	ZFX_01	protein
HDAC2_06	ENSG00000198551	regulate
HMGIY_Q3	ENSG00000104447	regulate
FOXP1_01	ENSG00000096654	regulate
POU4F1_01	ENSG00000167074	regulate
ENSG00000257923	CUX1SOX15_01	protein
NFIL3_03	ENSG00000110777	regulate
ENSG00000106031	ETV5HOXA13_01	protein
LIM1_01	ENSG00000073282	regulate
FOXD2_04	ENSG00000179195	regulate
PAX7_01	ENSG00000171970	regulate
ENSG00000078399	MEIS1AHOXA9_01	protein
ENSG00000181449	MEIS1SOX2_01	protein
SPIB_01	ENSG00000244405	regulate
ENSG00000111249	CUX2_02	protein
PU1_Q4	ENSG00000168505	regulate
HDAC2_06	ENSG00000133740	regulate
FOX_Q2	ENSG00000167074	regulate
ENSG00000163508	ALX4EOMES_01	protein
HDAC2_06	ENSG00000118156	regulate
TEAD3_01	ENSG00000129194	regulate
ENSG00000137265	IRF4_Q5	protein
MAFK_08	ENSG00000123095	regulate
OCT3_Q6	ENSG00000089335	regulate
SOX8_08	ENSG00000177842	regulate
GR_Q6	ENSG00000163497	regulate
UNCX41_01	ENSG00000214029	regulate
LXRBRXRA_Q5_01	ENSG00000100644	regulate
HDAC2_06	ENSG00000072736	regulate
PITX1_01	ENSG00000221994	regulate
BCL6_01	ENSG00000124613	regulate
LXRBRXRA_Q5_01	ENSG00000204531	regulate
PU1_Q4	ENSG00000067955	regulate
IRF1_05	ENSG00000213988	regulate
PAX3_03	ENSG00000129535	regulate
ESRRA_12	ENSG00000171786	regulate
BCL6_01	ENSG00000139154	regulate
ENSG00000184635	ZNF93_03	protein
FOXJ2_01	ENSG00000135457	regulate
TGIF2_01	ENSG00000158711	regulate
S8_01	ENSG00000197782	regulate
IRF1_05	ENSG00000173875	regulate
SOX9_06	ENSG00000100644	regulate
RXRA_05	ENSG00000163795	regulate
HDAC2_06	ENSG00000141956	regulate
NR2F1_02	ENSG00000124782	regulate
SP2_07	ENSG00000167528	regulate
ENSG00000115844	TEAD4DLX2_01	protein
GBX2_01	ENSG00000170374	regulate
FOXJ2_01	ENSG00000167074	regulate
ENSG00000069011	PITX1_Q4	protein
BCL6_01	ENSG00000185022	regulate
POU6F2_01	ENSG00000162676	regulate
FOXP1_01	ENSG00000162086	regulate
HOXA9_04	ENSG00000274349	regulate
HDAC2_06	ENSG00000063587	regulate
NFYB_01	ENSG00000170577	regulate
ENSG00000125740	JUNBFOSB_01	protein
HMGIY_Q3	ENSG00000171532	regulate
ZNF682_02	ENSG00000212993	regulate
NKX23_04	ENSG00000185129	regulate
ENSG00000126561	STAT_Q6	protein
DMRT3_01	ENSG00000177599	regulate
MSX2_03	ENSG00000113430	regulate
FOXD2_01	ENSG00000106459	regulate
HDAC2_06	ENSG00000159556	regulate
DMRT2_01	ENSG00000197933	regulate
FOX_Q2	ENSG00000165588	regulate
FREAC3_01	ENSG00000111145	regulate
COUPTF_Q6	ENSG00000196967	regulate
TRPS1_Q3	ENSG00000147421	regulate
ENSG00000006194	ZNF263_02	protein
BCL6_01	ENSG00000143799	regulate
ENSG00000140548	ZNF710_02	protein
HMGIY_Q3	ENSG00000185630	regulate
KROX_Q6	ENSG00000125945	regulate
HDAC2_06	ENSG00000163435	regulate
LXRBRXRA_Q5_01	ENSG00000101216	regulate
AMEF2_Q6	ENSG00000133794	regulate
ENSG00000128604	IRF_Q4	protein
ENSG00000105722	ERFFIGLA_01	protein
EP300_03	ENSG00000077150	regulate
CEBP_Q2	ENSG00000204532	regulate
HOXC10TBX21_01	ENSG00000167637	regulate
EGR1_12	ENSG00000196437	regulate
HNF1B_Q6	ENSG00000204644	regulate
ENSG00000067955	AML_Q6	protein
HFH3_01	ENSG00000183850	regulate
ENSG00000167232	ZNF91_01	protein
ENSG00000106852	LHX61_02	protein
FOXP1_01	ENSG00000196418	regulate
ENSG00000143190	OCT1_06	protein
HOXC8_01	ENSG00000198740	regulate
EGR1_12	ENSG00000198939	regulate
PROP1_02	ENSG00000143373	regulate
BCL6_01	ENSG00000125846	regulate
HDAC2_06	ENSG00000181007	regulate
HOXA3_02	ENSG00000169375	regulate
BCL6_01	ENSG00000132170	regulate
HFH3_01	ENSG00000198911	regulate
ENSG00000072310	SREBF1_02	protein
IPF1_06	ENSG00000101057	regulate
POU2F1FOXO6_01	ENSG00000183850	regulate
CRX_Q6	ENSG00000141905	regulate
ENSG00000170608	HNF3_Q6	protein
ZNF732_02	ENSG00000175325	regulate
BCL6_01	ENSG00000134323	regulate
ERFDLX2_01	ENSG00000120068	regulate
ENSG00000143390	CUX1RFX5_01	protein
FOXP1_01	ENSG00000181894	regulate
ENSG00000185155	MIXL1_01	protein
STAT5A_02	ENSG00000120738	regulate
NKX61_03	ENSG00000137203	regulate
ENSG00000135903	PAX3_03	protein
GTF3C2_01	ENSG00000005801	regulate
ENSG00000197808	GIOT1_01	protein
HNF3_Q6_01	ENSG00000197857	regulate
ZNF788_01	ENSG00000148704	regulate
FOXJ2_01	ENSG00000111087	regulate
RPC155_01	ENSG00000121864	regulate
ENSG00000196967	ZNF585A_01	protein
ENSG00000105997	HOXA3_02	protein
ENSG00000105722	ERFFOXI1_02	protein
ENSG00000141646	SMAD2SMAD3SMAD4_01	protein
BCL6_01	ENSG00000142409	regulate
IRF1_05	ENSG00000168661	regulate
ENSG00000176165	FOXG1_01	protein
TEAD4DRGX_01	ENSG00000198597	regulate
ENSG00000162992	NEUROD_02	protein
IRF1_05	ENSG00000166529	regulate
DMRT4_01	ENSG00000196946	regulate
IRF1_03	ENSG00000172216	regulate
SOX11_Q6	ENSG00000235109	regulate
THRB_01	ENSG00000154727	regulate
BCL6_01	ENSG00000121413	regulate
EGR1_12	ENSG00000175787	regulate
EAR2_Q2	ENSG00000180318	regulate
BCL6_01	ENSG00000221994	regulate
SATB1_Q3	ENSG00000159216	regulate
RPC155_01	ENSG00000115112	regulate
MSX1_Q5	ENSG00000109320	regulate
BCL6_01	ENSG00000105136	regulate
OCT4_02	ENSG00000172819	regulate
LHX61_01	ENSG00000117036	regulate
BCL6_01	ENSG00000178150	regulate
OCT1_08	ENSG00000197483	regulate
IRF3_Q3	ENSG00000196453	regulate
ENSG00000090447	TFAP4FLI1_01	protein
ZNF21_02	ENSG00000180257	regulate
BCL6_01	ENSG00000273841	regulate
BCL6_01	ENSG00000130856	regulate
HNF3_Q6_01	ENSG00000143190	regulate
EGR1_12	ENSG00000124459	regulate
HNF3B_01	ENSG00000188227	regulate
FOXP1_01	ENSG00000152467	regulate
HNF6_Q6_01	ENSG00000124766	regulate
ZNF569_01	ENSG00000197279	regulate
OCT1_04	ENSG00000102974	regulate
ONECUT3_01	ENSG00000159387	regulate
CEBPA_Q4	ENSG00000164107	regulate
HFH3_01	ENSG00000198026	regulate
HKR1_01	ENSG00000111424	regulate
ENSG00000115844	POU2F1DLX2_01	protein
HOXD10_01	ENSG00000257591	regulate
ZFP_05	ENSG00000177842	regulate
BCL6_01	ENSG00000198429	regulate
E2F1EOMES_02	ENSG00000140009	regulate
OCT2_Q6	ENSG00000157557	regulate
ENSG00000082175	PR_02	protein
LBX2_01	ENSG00000263001	regulate
BCL6_01	ENSG00000120093	regulate
HDAC2_06	ENSG00000168122	regulate
ENSG00000117595	IRF_Q4	protein
DBX2_01	ENSG00000109787	regulate
BCL6_01	ENSG00000166526	regulate
IRF1_05	ENSG00000174282	regulate
TEF_04	ENSG00000110777	regulate
BCL6_01	ENSG00000007968	regulate
SETDB1_01	ENSG00000256294	regulate
KROX_Q6	ENSG00000183733	regulate
ENSG00000152192	POU4F1_01	protein
BCL6_01	ENSG00000162624	regulate
SOX8_08	ENSG00000169016	regulate
MEF2_Q6_03	ENSG00000082641	regulate
ENSG00000182742	HOXB4_01	protein
ENSG00000105722	ERFFOXO1_01	protein
PIT1_Q6	ENSG00000198429	regulate
HOXA2_01	ENSG00000020256	regulate
FOSJUN_03	ENSG00000143171	regulate
ENSG00000196437	ZNF569_01	protein
NFIL3_03	ENSG00000130803	regulate
DMRT5_01	ENSG00000177599	regulate
SRF_Q5_02	ENSG00000204366	regulate
MEOX2_02	ENSG00000089335	regulate
BCL6_01	ENSG00000132010	regulate
RPC155_01	ENSG00000166888	regulate
SETDB1_01	ENSG00000263001	regulate
POU2F3_01	ENSG00000089335	regulate
SOX5_07	ENSG00000197961	regulate
OCT1_05	ENSG00000133111	regulate
ZNF79_02	ENSG00000197279	regulate
ZNF285_01	ENSG00000257446	regulate
UNCX41_01	ENSG00000173404	regulate
PAX4_Q2	ENSG00000173258	regulate
FOXD3_04	ENSG00000066422	regulate
ZNF629_02	ENSG00000136997	regulate
ENSG00000057657	BLIMP1_Q6	protein
LXRBRXRA_Q5_01	ENSG00000115966	regulate
RPC155_01	ENSG00000213973	regulate
ENSG00000124664	SPDEF_06	protein
ENSG00000123405	NFE2MAF_01	protein
IRX5_01	ENSG00000100625	regulate
E2F3EOMES_01	ENSG00000196378	regulate
FOX_Q2	ENSG00000139154	regulate
SOX9_03	ENSG00000136574	regulate
HNF1B_04	ENSG00000132170	regulate
LXRBRXRA_Q5_01	ENSG00000102034	regulate
HDAC2_06	ENSG00000102554	regulate
TST1_02	ENSG00000070444	regulate
